avg_power,spectral_centroid,peak_freq,pow_delta,log_pow_delta,pow_theta,log_pow_theta,pow_alpha,log_pow_alpha,pow_beta,log_pow_beta,pow_gamma,log_pow_gamma,file_name,epoch_idx,difficulty
2.979455390352665e-12,4.93686357910657,1.0,2.7410314160417837e-11,-10.562085986811686,4.222798785739938e-12,-11.374399611997955,1.4847259475160907e-12,-11.8283537015422,5.597201100623891e-13,-12.252029089140743,2.907195128989783e-13,-12.53652581769655,sub-001_ses-1_task_all_physiological_recordings.xdf,0,easy
5.056165190078195e-12,3.5449878778443704,1.0,5.192859665926953e-11,-10.284593413807228,7.27654289429859e-12,-11.138074906199753,1.2270156575510286e-12,-11.911149895345837,5.037437200062143e-13,-12.297790355011921,2.4372258198364384e-13,-12.613104229631315,sub-001_ses-1_task_all_physiological_recordings.xdf,1,easy
3.73341288880035e-12,4.476324186041458,1.0,3.389154941964082e-11,-10.469908576072083,7.314033525381905e-12,-11.135843053315039,1.208622075051808e-12,-11.917709477781063,5.57583495354237e-13,-12.253690089972215,2.666176764062381e-13,-12.574111060806617,sub-001_ses-1_task_all_physiological_recordings.xdf,2,easy
4.669669996047527e-12,4.12157686446797,1.0,4.46646466738148e-11,-10.350036097211266,7.873421117391941e-12,-11.103836519284709,1.4741171140001552e-12,-11.831468011766278,6.271378917173275e-13,-12.202636958327515,3.0217753845362724e-13,-12.519737820897683,sub-001_ses-1_task_all_physiological_recordings.xdf,3,easy
4.90296939428438e-12,4.201293152904715,1.0,4.664322988949898e-11,-10.331211383750361,8.959307741063986e-12,-11.047725545678343,1.3008225821510388e-12,-11.885781932375423,5.914595474942752e-13,-12.228074953319716,3.5108998311903096e-13,-12.454581561130459,sub-001_ses-1_task_all_physiological_recordings.xdf,4,easy
3.436614974204007e-12,4.833558355337051,1.0,2.973717033962102e-11,-10.526700359430578,7.050945897881646e-12,-11.151752617664696,1.4038803943606317e-12,-11.852669890982456,5.865661550858482e-13,-12.231682999458954,2.784374100704017e-13,-12.55527241455126,sub-001_ses-1_task_all_physiological_recordings.xdf,5,easy
2.0732946116143757e-12,9.01203955153359,1.0,1.3378891506195103e-11,-10.87357986808431,3.604155071504308e-12,-11.443196531441648,1.3748478444177453e-12,-11.8617453629146,8.836862105649581e-13,-12.053701921879075,5.983490245240983e-13,-12.223045412655114,sub-001_ses-1_task_all_physiological_recordings.xdf,6,easy
2.6046043912523976e-12,5.609352753102384,1.0,2.3176620290426055e-11,-10.634949894353127,3.664823172586502e-12,-11.435946975189998,1.0169432766906188e-12,-11.99270327058491,6.600021760914582e-13,-12.180454632544564,3.4038642993234853e-13,-12.468027762109699,sub-001_ses-1_task_all_physiological_recordings.xdf,7,easy
2.232212025650458e-12,6.366458196763625,1.0,1.763440481484468e-11,-10.753639193778785,4.127486559522506e-12,-11.384314332271035,1.138910704022415e-12,-11.943510325324393,6.283405430012987e-13,-12.201804916993156,3.2168781785081794e-13,-12.4925653852912,sub-001_ses-1_task_all_physiological_recordings.xdf,8,easy
3.5058793141127546e-12,4.969063667112309,1.0,3.271413759559968e-11,-10.485264524010244,4.973409091212735e-12,-11.303345816104782,1.4027539816548414e-12,-11.853018489897169,6.579671622739438e-13,-12.1817957805488,3.685979349208568e-13,-12.433447102255819,sub-001_ses-1_task_all_physiological_recordings.xdf,9,easy
4.983396737585724e-12,4.0895988610117415,1.0,4.8243774124826854e-11,-10.316558724552156,8.221084142985554e-12,-11.085070906758078,1.4482242363147145e-12,-11.83916418879188,6.381858985207321e-13,-12.19505279629151,3.3481392038571655e-13,-12.475196493865681,sub-001_ses-1_task_all_physiological_recordings.xdf,10,easy
3.381719142959853e-12,5.325011933042376,1.0,2.846870794238614e-11,-10.545632242941748,6.816491208097755e-12,-11.166439121105249,1.3694629237106312e-12,-11.863449721165296,6.993342395070109e-13,-12.155315208117644,3.5342430154774957e-13,-12.451703591599962,sub-001_ses-1_task_all_physiological_recordings.xdf,11,easy
4.139647337546243e-12,4.424300297411013,1.0,3.8490992305052776e-11,-10.414640892567302,7.375237225715672e-12,-11.132224005971855,1.386973474302881e-12,-11.857931844675846,5.822813907496389e-13,-12.234867089376584,3.4883688882146695e-13,-12.45737759551555,sub-001_ses-1_task_all_physiological_recordings.xdf,12,easy
4.18615394065767e-12,4.94991377695945,1.0,4.006761482852073e-11,-10.39720650976703,5.983355688979145e-12,-11.223055179145357,1.0099843951666773e-12,-11.995685336262266,7.104259988110412e-13,-12.148481153460363,5.576684737000472e-13,-12.253623906494827,sub-001_ses-1_task_all_physiological_recordings.xdf,13,easy
4.156202888741782e-12,5.098282666450376,1.0,3.9973309552242426e-11,-10.398229893251678,5.165626546058947e-12,-11.2868769947652,1.1231221577465707e-12,-11.949573004602303,7.801567284377779e-13,-12.107818141593896,6.279077173797428e-13,-12.202104179157226,sub-001_ses-1_task_all_physiological_recordings.xdf,14,easy
4.040949124047764e-12,4.817544828496109,1.0,3.755975706002095e-11,-10.425277225453678,6.080068119729947e-12,-11.216091554961295,1.7890242446111552e-12,-11.747383773893501,6.505380057725461e-13,-12.186727325981504,4.316444279123401e-13,-12.364873861013782,sub-001_ses-1_task_all_physiological_recordings.xdf,15,hard
6.084579742796161e-12,2.9428113468880253,1.0,6.473591719983464e-11,-10.188854694391214,8.487357829063089e-12,-11.071227487476746,1.5090685653260274e-12,-11.821291027377324,3.3771948446550974e-13,-12.471443882356164,1.815871050097054e-13,-12.740914995142951,sub-001_ses-1_task_all_physiological_recordings.xdf,16,hard
2.3153980397401647e-12,4.17919809308353,1.0,2.1994185520968737e-11,-10.65769211599211,3.256703823880768e-12,-11.487221735909491,1.2033443068616272e-12,-11.919610092380994,3.661408611722501e-13,-12.436351801325012,1.2750329947561258e-13,-12.894478576598567,sub-001_ses-1_task_all_physiological_recordings.xdf,17,hard
2.0888141601934637e-12,4.414978973649204,1.0,1.8667551593680085e-11,-10.728912639687957,3.786930490560093e-12,-11.421712666319163,1.1424984651047879e-12,-11.94214437471279,3.159423940900537e-13,-12.500392095259574,1.2521755242374895e-13,-12.902334789444438,sub-001_ses-1_task_all_physiological_recordings.xdf,18,hard
3.898108853142969e-12,3.431730604897443,1.0,3.911328243345675e-11,-10.407675736005958,6.2541370521795496e-12,-11.20383260592757,1.3377304216663388e-12,-11.873631396417617,3.307827336128809e-13,-12.480457168080662,1.1943504439675935e-13,-12.922868224671767,sub-001_ses-1_task_all_physiological_recordings.xdf,19,hard
2.190808723939511e-12,4.0754164212340385,1.0,2.1127411153553644e-11,-10.675153715943791,3.1410689245427636e-12,-11.50292253376381,9.63782166385752e-13,-12.016021114050494,3.2270157948248334e-13,-12.49119890891017,1.3096504604884565e-13,-12.882844600021357,sub-001_ses-1_task_all_physiological_recordings.xdf,20,hard
8.56211751625475e-12,2.7813426112246966,1.0,9.034583323378806e-11,-10.044091872381436,1.3926328132802507e-11,-10.856163376172749,1.5911430243066301e-12,-11.798290780834003,3.6653015495093637e-13,-12.43589028953565,1.463686620388466e-13,-12.834551897051256,sub-001_ses-1_task_all_physiological_recordings.xdf,21,hard
1.815131659393857e-12,4.826877601753609,1.0,1.5941585183181434e-11,-10.797468495858391,3.026641052023158e-12,-11.519039081643093,1.075047394833111e-12,-11.968572388901155,3.388597553605991e-13,-12.469980007033572,1.4570986633450374e-13,-12.836511040202842,sub-001_ses-1_task_all_physiological_recordings.xdf,22,hard
4.390496564733763e-12,3.146861399700914,1.0,4.4843502148905534e-11,-10.34830047759911,7.122672830736485e-12,-11.147357003861108,1.1290167283130624e-12,-11.947299623212116,3.360782229142965e-13,-12.473559627889237,1.174931557012041e-13,-12.929987431500962,sub-001_ses-1_task_all_physiological_recordings.xdf,23,hard
3.119732287430607e-12,3.904876969559432,1.0,2.92376690009372e-11,-10.534057254846328,5.6802689972781325e-12,-11.245631097164454,1.2579522519981596e-12,-11.900335843061868,4.0353951156625585e-13,-12.394113935997433,1.1344837422619689e-13,-12.945201723398707,sub-001_ses-1_task_all_physiological_recordings.xdf,24,hard
2.2099314992187046e-12,4.338249301797587,1.0,1.9849858323878714e-11,-10.702242588617604,3.784646471796596e-12,-11.421974682219039,1.3285619945159364e-12,-11.87661817535382,3.398084166572282e-13,-12.468765868367147,1.2103711357067893e-13,-12.917081441687394,sub-001_ses-1_task_all_physiological_recordings.xdf,25,hard
1.4959815791196393e-12,5.221613093169667,1.0,1.2083571518379832e-11,-10.917804683142426,3.0556140018043423e-12,-11.514901508563055,9.076896718274647e-13,-12.042062606158494,3.335278015122523e-13,-12.476867959228318,1.0953698973972863e-13,-12.960439198384307,sub-001_ses-1_task_all_physiological_recordings.xdf,26,hard
8.898550231546284e-13,6.762952337733237,1.0,5.317272633467993e-12,-11.274311071456514,2.3571339493738452e-12,-11.627615737025542,9.83262821320075e-13,-12.0073303818699,2.527778488552626e-13,-12.597260986328832,9.420272100645739e-14,-13.025936552610277,sub-001_ses-1_task_all_physiological_recordings.xdf,27,hard
3.4914401302880364e-12,3.425391022470871,1.0,3.520431616901602e-11,-10.453404087275489,5.17427642657492e-12,-11.286150373584427,1.1546843728816803e-12,-11.937536711744574,3.6903206829343525e-13,-12.432935892708839,1.2309453127343568e-13,-12.909761241061593,sub-001_ses-1_task_all_physiological_recordings.xdf,28,hard
3.1085546542010265e-12,3.8889773311184492,1.0,3.0436291984348326e-11,-10.516608258236126,4.878561067952359e-12,-11.311708254308602,1.0421257626162575e-12,-11.982079867682831,3.6797498176763457e-13,-12.43418170754826,1.938323670349432e-13,-12.712573700706466,sub-001_ses-1_task_all_physiological_recordings.xdf,29,hard
9.379634773870554e-16,20.54732768335217,29.0,9.27324768177805e-16,-15.032768140368768,9.525568748122582e-16,-15.021109084230076,8.832678515496254e-16,-15.053907576365633,9.525191939818617e-16,-15.021126264202032,9.463024354303603e-16,-15.023970042195035,sub-001_ses-2_task_all_physiological_recordings_MATB.xdf,0,easy
9.3443598066358e-16,20.393567788977172,14.0,9.07140900612314e-16,-15.042325251411942,9.032854679702534e-16,-15.044174976628085,9.725213979949702e-16,-15.0121008342913,9.474154607240017e-16,-15.02345953236684,9.16094128361475e-16,-15.03805990042851,sub-001_ses-2_task_all_physiological_recordings_MATB.xdf,1,easy
9.368419139508482e-16,20.457892760770548,33.0,9.385845763151448e-16,-15.027526586791177,9.488506728441927e-16,-15.022802130104422,9.02901917591455e-16,-15.044359424617125,9.43131806247959e-16,-15.025427608719681,9.472504677241756e-16,-15.023535171611186,sub-001_ses-2_task_all_physiological_recordings_MATB.xdf,2,easy
9.228781810765568e-16,20.41969461582706,9.0,8.895318383793862e-16,-15.050838502908865,9.617655288077666e-16,-15.016930792781919,9.307069109034016e-16,-15.031187061249847,9.217864156074306e-16,-15.035369696374445,9.181502599263227e-16,-15.037086238497299,sub-001_ses-2_task_all_physiological_recordings_MATB.xdf,3,easy
9.266908962269894e-16,20.449175355075994,13.0,9.025869842069521e-16,-15.044510933532308,9.35471348272204e-16,-15.028969509583355,9.086567772946067e-16,-15.041600129842159,9.36815775950087e-16,-15.028345804367824,9.28849477055074e-16,-15.032054659075147,sub-001_ses-2_task_all_physiological_recordings_MATB.xdf,4,easy
9.326336991473087e-16,20.44812506070047,33.0,8.981549626480127e-16,-15.04664872612015,9.751910911103187e-16,-15.010910274882805,9.2237302264761e-16,-15.035093407671956,9.293364963365772e-16,-15.031827007166878,9.427979475662038e-16,-15.025581371588572,sub-001_ses-2_task_all_physiological_recordings_MATB.xdf,5,easy
9.249917623917057e-16,20.385169850659736,11.0,8.862891189555188e-16,-15.052424582532057,9.381645797009052e-16,-15.027720967819077,9.616495047402015e-16,-15.01698318772684,9.307413352982862e-16,-15.031170998139016,9.08262333772255e-16,-15.041788695911862,sub-001_ses-2_task_all_physiological_recordings_MATB.xdf,6,easy
9.403037651609584e-16,20.496353827877968,9.0,9.17733585706974e-16,-15.037283374408432,9.365116319055574e-16,-15.028486824117868,9.564638407739328e-16,-15.019331443879432,9.400420034263481e-16,-15.026852740603777,9.494849087206389e-16,-15.022511933624632,sub-001_ses-2_task_all_physiological_recordings_MATB.xdf,7,easy
9.214256071373834e-16,20.497970588121195,29.0,8.738836490870526e-16,-15.058546386499676,9.503393532421912e-16,-15.022121286370302,8.98843712795084e-16,-15.046315815020083,9.350742109128545e-16,-15.029153920559573,9.204018320342125e-16,-15.036022525551463,sub-001_ses-2_task_all_physiological_recordings_MATB.xdf,8,easy
9.21987582015993e-16,20.5094155306975,33.0,8.597403547054567e-16,-15.06563268776148,9.34051273863544e-16,-15.029629282929646,9.186887315643336e-16,-15.036831610553499,9.386471350247346e-16,-15.027497641081156,9.185926687285358e-16,-15.036877025000663,sub-001_ses-2_task_all_physiological_recordings_MATB.xdf,9,easy
9.251356695754732e-16,20.505724706643036,33.0,9.231376167295177e-16,-15.034733551703011,9.240895730326875e-16,-15.034285930091148,9.187470910368848e-16,-15.036804022981086,9.230949633996092e-16,-15.034753618628507,9.414547298162511e-16,-15.02620055834905,sub-001_ses-2_task_all_physiological_recordings_MATB.xdf,10,easy
9.261843552396394e-16,20.409774901622313,21.0,9.039610465511084e-16,-15.043850283719767,9.733209304401146e-16,-15.011743937390152,9.227085597946367e-16,-15.034935450501477,9.208140360432024e-16,-15.035828069341719,9.35732506108733e-16,-15.028848283445667,sub-001_ses-2_task_all_physiological_recordings_MATB.xdf,11,easy
9.242611899034069e-16,20.460377296980237,29.0,9.152351794505232e-16,-15.038467294989418,9.243163079054653e-16,-15.034179384547649,9.519829826540728e-16,-15.021370814856583,9.16600837241918e-16,-15.037819750397604,9.319464126343077e-16,-15.03060905906909,sub-001_ses-2_task_all_physiological_recordings_MATB.xdf,12,easy
9.338025136963609e-16,20.647163138172022,30.0,8.76165095727553e-16,-15.057414052042182,9.631897970867249e-16,-15.016288126472881,8.96549956376733e-16,-15.047425506242023,9.316219012706918e-16,-15.03076031029493,9.675188759673212e-16,-15.014340553287365,sub-001_ses-2_task_all_physiological_recordings_MATB.xdf,13,easy
9.317926347442535e-16,20.53056732429914,33.0,8.852831196473092e-16,-15.052917816717821,9.677682354576242e-16,-15.014228636610394,9.307344518296854e-16,-15.031174210055552,9.262872290457956e-16,-15.033254323634225,9.52378971279323e-16,-15.021190202471459,sub-001_ses-2_task_all_physiological_recordings_MATB.xdf,14,easy
9.230956659965849e-16,20.581528670918797,13.0,8.630059599124974e-16,-15.063986205040093,9.326930623328536e-16,-15.030261253645385,9.303483668420578e-16,-15.031354400405379,9.282642228331088e-16,-15.032328387805423,9.316291155693955e-16,-15.030756947216,sub-001_ses-2_task_all_physiological_recordings_MATB.xdf,15,hard
9.149416001419087e-16,20.61556378093637,37.0,8.673512056893784e-16,-15.061805013471451,9.068125689411788e-16,-15.042482468933734,9.030868231248345e-16,-15.04427049443579,9.29587457023982e-16,-15.031709744874163,9.162870387930506e-16,-15.037968456641872,sub-001_ses-2_task_all_physiological_recordings_MATB.xdf,16,hard
